A,B,C,D
Roberto Torres,Lo Mejor con La Orq. Broadway,Sabor Guajiro,0
Butthole Surfers,Piouhgd + Widowermaker!,"Barking Dogs (From ""Piouhgd"")",0
Scarlet's Remains,The Palest Grey,Spin,2007
Eliane Elias,Bossa Nova Stories,The More I See You,2009
The Suicide Machines,A Match & Some Gasoline,Burning In The Aftermath,2003
Ec8or,Ec8or,Cocain Ducks,1995
The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,Angie (1993 Digital Remaster),0
Stevie Ray Vaughan,Greatest Hits,Crossfire,1992
R.L. Burnside,A Bothered Mind,Glory Be,2004
Lost Boyz,Love_ Peace & Nappiness,Certain Things We Do,1997
The Berzerker,The Berzerker,Deform (live),2000
John Cale,Eat / Kiss: Music For The Films By Andy Warhol,Movement 4 [from Kiss] (Album Version),1997
Kings Of Leon,Holy Roller Novocaine,Wicker Chair,2003
Francis Dunnery,Hometown 2001,Too Much Saturn,1995
Perrey And Kingsley,Vanguard Visionaries,Spooks In Space,1966
Chris Rea,The Road To Hell Part 2,Driving Home For Christmas,1986
Vickie Winans,Classic Gold: Best of All,Make Me Over,0
Edith Lefel,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),An ti chans',0
The Germs,Germicide,Forming,1977
Eurythmics,Be Yourself Tonight,Tous Les Garçons Et Les Filles,1985
Yamandu Costa,Mafuá,Mafuá,0
Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,Stream,0
Van Halen,The Best Of Both Worlds,Panama (Remastered Album Version),0
Xcultures,One World One People,Sudanese Dance,2000
Heavy D / McGruff,Waterbed Hev,Wanna Be A Player,1997
Bruce Rowland,The Man from Snowy River,Rosemary Recalls,1985
White Heart,Tales Of Wonder,Where The Thunder Roars (Tales Of Wonder Album Version),0
Murskahumppa,Murskapunkkia,Ota kiinni,0
Soda Stereo,Canción Animal,Entre Caníbales,1990
Taras,I Will Love Again,I Will Love Again (JJ's Club Radio),0
NOFX,White Trash ......,Stickin In My Eye,1992
Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,2004
The Dirty Skirts,Daddy Don't Disco,Wake,0
Nine Inch Nails,Things Falling Apart,Metal,2000
Suburbs,Un Titre de Toune,Monde De Fou,2005
Savage Garden,Affirmation,You Can Still Be Free,1999
Hank Penny & The Lincoln Penny Orchestra,It's War Again,Dixie,0
Inspiral Carpets,The Singles,Commercial Reign,1990
Slim Whitman,Country Lovers. Vol. 3,Indian Love Call,1990
Queens Of The Stone Age,Lullabies To Paralyze,I Never Came,2005
Borialis,What You Thought You Heard,Hourglass,0
Glen Campbell,Unconditional Love,I'm Gone This Time,0
Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),She Fell Away (2009 Digital Remaster),0
T.G. Sheppard,The Very Best Of,You Feel Good All Over,2002
Lesley Gore,60's Triple set,It's My Party,1963
Nadine Renee,Oasis of Love,Next Time,0
Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,Caricia Y Herida,0
Julien Clerc,Vendredi 13 - 1981,This Melody (Live),0
Smartbomb,Yeah.  Well_ Anyway....,Complicate It,2001
Emperor,Live Inferno,Opus a Satana (Part 2),0
Mira,Openbare Weg,Openbare Weg,2006
Redman,Malpractice,WKYA (drop),2001
Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,0
Citizen Kaned,Tip World Singles 2000,President Johnson,2000
Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,Ma Louise,0
Eddie Cantor,The Fabulous Eddie Cantor,Now's The Time To Fall In Love,0
Sonny Simmons,Staying on the Watch,A Distant Voice,0
Solistiyhtye Suomi,20 Suosikkia / Rilluttele yö,Teräslintu,0
Vince Guaraldi / Bola Sete,From All Sides,Choro,0
Bézu,Le top du père Nöel,Le tortillard,0
Organized Konfusion,The Equinox,Hate,1997
Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,Grim Prospects (Gross Prospects - Bad Trip Remix),0
The Brooklyn Tabernacle Choir,Praise Him...Live!,Lead Me Lord,1995
Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),1991
Kai Winding,The Incredible Kai Winding Trombones,Mangos,1961
Richard Burton,Fifteen Poems By Dylan Thomas,I See The Boys Of Summer,0
Howard Armstrong,Louie Bluie Film Soundtrack,My Four Reasons,0
DJ X-Change featuring DJ Joey A,What up Detroit,Come Over,0
Wolfmother,White Feather,White Feather,2009
Nazz,13th And Pine,How Can You Call That Beautiful (Stewkey Vocal),0
Hot Tuna,Final Vinyl,Candy Man,1971
Martina McBride,Timeless,I Can't Stop Loving You,2005
Les Ogres De Barback,Irfan_ le héros,Niev nietch nievitch,1999
Horace Andy,Feel Good All Over: Anthology 1970-1976,Thank You Lord,1985
Morel,Peterbilt Angel,Blue Taxi,0
Rory Block,The Early Tapes 1975-1976,Three Is a Crowd,0
Miguel Gallardo,Canciones De Amor De Miguel Gallardo,Eternamente Amame,0
Donny Hathaway,Donny Hathaway,Little Girl (LP Version),1971
Tyrone Davis,Call Tyrone,Cheatin' In The Next Room,0
Boyz II Men,Legacy,On Bended Knee,1994
Tony Joe White,Homemade Ice-Cream,I Want Love (Tween You & Me) (Album Version),0
Saafir,The Hit List,Crawl Before You Ball (Album Version),1999
Bob Margolin,In North Carolina,You Rascal You,0
Marvin Sapp,Nothing Else Matters,More And More  (LP Version),0
The Roches,Can We Go Home Now,Christlike Roche,1995
Dharma Bums,DUMB: 4-track cassette recordings (1987),Simon's Folly,0
Jupiter Rising,Electropop,They Say (Album),2007
Cama,In this Life,In This Life,2009
Mish Mash,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Kolomeyke,0
Maxi Priest,Best Of Maxi Priest,Groovin' In The Midnight,1991
Nelson Ned,Mis Momentos,Brasas Vivas,0
James Hunter,A Tribute to The American Horse,Cowboy Ways,0
Bob Neuwirth,99 Monkeys,Biding Her Time,1990
The Verve Pipe,Underneath,Medicate Myself,2001
Thomas Battenstein,Wintertime,Sympathy,0
Xmilk,Scarcity,Sense And Trick,0
Robben Ford,Talk To Your Daughter,I Got Over It (Album Version),1988
Foo Fighters,In Your Honor,Hell,2005
Soda Stereo,Gira Me Verás Volver,Te Hacen Falta Vitaminas,1984
The Avengers,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,Juoksuhauta-twist (Elämä juoksuhaudoissa),0
Brazilian Tropical Orchestra,American Songbook - Bacharach,One Less Bell To Answer,0
Shakira Featuring Wyclef Jean,Essential R&B Hit Selection,Hips Don't Lie (featuring Wyclef Jean),0
Britt Nicole,Hanging On (Premiere Performance Plus Track),Hanging On (Medium Key Performance Track Without Background Vocals),0
Ragheb Alama,Bravo Alayki Rare recording,A'chek Ouyounik (2009 Digital Remaster),0
Porcupine Tree,Signify (Special Edition),Waiting,1997
Dolce; Oscar G.,Fire,Fire (Oscar G Space Vocal Mix),0
Schizoid,Grim Prospects Remixes - Prospects Are Getting Grimmer,Grim Prospects (Version 2 Remix),0
Gil Semedo,Nha Vitória,Festa,0
Rance Allen Group,Up Above My Head,Heaven is Where The Heart Is,0
Dolly Parton,Heaven,Letter To Heaven,1971
Perrey And Kingsley,The Out Sound From Way In!,Gossippo Perpetuo,2001
Toni Braxton Featuring Shaggy,Snowflakes,Christmas In Jamaica,2001
Enthroned,Pentagrammaton,The Vitalized Shell,2010
Milan Band,Milan Milan,Ciao Milan,0
Sven Tasnadi,El Fuego De Dentro,2190 Dias Contigo,0
Suzanne Ciani,Pianissimo,Mozart,1989
Eddie,No Control,No Control,0
Johnny Osbourne,Auralux Reggae Showcase,Lend Me Your Chopper,2004
Hank Locklin,RCA Country Legends,We're Gonna Go Fishin',0
Norrie Paramor,In London_ In Love,Dearly Beloved,0
2-4 Grooves feat. Reki D.,Relax,Relax,2009
Gary Hobbs,Of My Times,The Look Of Love,0
The Jordanaires,Joy In Our Hearts - The Gospel Side Of The Jordanaires,Sweet By And By,0
Pearl Jam,Pearl Jam,Inside Job,2006
Kiril Valeri,Behind The Blue,Bulgarian Dream,0
Word,Matumago X Press,Amalgama,0
BT,LOOK (Original Motion Picture Soundtrack),Robbers Kill Cop,0
Descendents,Enjoy!,Orgofart,1986
L.A. Guns,A Nite On The Strip - Live,Bitch Is Back,1988
Shelley Fabares,The Best Of Shelley Fabares [Digital Version],Johnny Loves Me (LP Version),0
DJ Quik,The Best of DJ Quik - Da Finale,Born and Raised In Compton,1991
Bare Jr.,Boo-Tay,Naked Albino,1998
Mastodon,Crack The Skye,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
Natalie Cole,Take A Look,Take A Look  (LP Version),0
Diesel Boy,Venus Envy,Cooler Than You,1998
Ladybug,Snapshot,Snapshot,0
Brixx,7 Miles,7 Miles,0
Angelo Badalamenti,Freddy's Favorites: The Best of A Nightmare On Elm Street,Taryns Deepest Fear,0
Nine Inch Nails,Things Falling Apart,The Frail,1999
Cradle Of Filth,Bitter Suites to Succubi,Summer Dying Fast,1994
Bandido,End Of The Road - Single,End Of The Road (Head Hornys Remix),0
Jim Chappell,Manila Nights,Still,0
Leland Martin,Leland Martin,Stone Cold Fingers (Bonus Track),0
React,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,Drunk Alone,0
Susana Seivane,Os soños que volven,Para Milladoiro,2010
Flávio José,Seu Olhar Não Mente,Jogo Limpo,0
Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,All Rise,0
Moss,Never Be Scared / Don't Be A Hero,Silent Hill,2009
Sven Tasnadi,Break The Night,Charisma,0
Test Icicles,For Screening Purposes Only,Snowball,2005
Pery Ribeiro,S'Wonderful Movie'n Bossa,Our Love Is Here To Stay,0
Heaven 17,Endless,(We Don't Need This) Fascist Groove Thang,1981
Mance Lipscomb,Texas Songster,Going Down Slow,2000
Public Image Ltd,Live In Tokyo,(This Is Not A) Love Song (Live),1983
Daniela Dessì,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,New Age,0
Soular,Time and Space,Everything Changes,0
Dimmu Borgir,Death ... Is just the beginning Vol.4,Master Of Disharmony,1996
The B-52's,The B52's,Wig,1986
Sex Pistols,Punk International,God Save the Queen (Live),1988
Dakis,Moments,Perasmena Mesanihta,0
Deekline & Wizard,Breaks_ Beats & Blondes,Sun Is Shining,2004
Chris Brown,Forever,Forever,0
Gary Moore,Dark Days In Paradise,What Are We Here For,1997
Pascal Sangla,Une petite pause,Une petite pause,2010
Bebo & Cigala,Lagrimas Negras,Inolvidable,2003
Hem,Peace At Last - EP,Have Yourself A Merry Little Christmas,2005
Brian Keane,The Way West,Battle Of The Rosebud / Cries,0
Bongzilla,Apogee,Witch Weed (Live),1999
Pentangle,Light Flight - The Anthology,Rain And Snow,0
DJ Dips,This DJ,Gerra De De,0
Ana Bekuta,Zlatni hitovi '90 1,Kako mi je pitas sad,0
Aberdeen,Suburban,Beyond the Light,0
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Music Of The Brazilian Masters,Ernesto Nazareth,0
Busdriver,RoadKillOvercoat,(Bloody Paw On The) Kill Floor,2007
Jason Miles,Miles To Miles,Voices On The Corner,0
Lily Allen,Alright_ Still (Deluxe),U Killed It,2006
The Willis Brothers,Strictly Trucking,Give Me 40 Acres (To Turn This Rig Around),0
Boogie Pimps,PeeBoy EP,Get Back Down,0
Bizarre Inc,Surprise,Miracle,1996
Byther Smith,Addressing The Nation With The Blues,I Wish My Mother Was Here,1989
The Gone Jackals,Bone To Pick,Not Buried Deep Enough,1995
S.U.P,To Live Alone,The Cube (Live),2001
Grant Geissman,Time Will Tell,Big Stax/High Volts (Album Version),0
The Killers,Hitzone 49,Spaceman,2008
Butterfly Temple,Za Solntsem Vsled,Iskorosten' (instr.),0
Gloriana,Il meglio di Gloriana,Pulecenella 'e mò,0
Rage Against The Machine,Live at the Grand Olympic Auditorium,Kick Out The Jams,2000
Bone Thugs-N-Harmony / Akon,Strength & Loyalty,Never Forget Me,2007
Sir Neville Marriner,Britten: Orchestral Works,4 Sea Interludes Op. 33a: Storm,0
N.W.A.,Straight Outta Compton,A B***** Is A B***** (Edited),1989
Agnes,I Need You Now,I Need You Now,0
Korn,Issues,Hey Daddy,1999
Moonsorrow,Kivenkantaja,Ukkosenjumalan poika,2001
Orbital,The Altogether,Illuminate,2001
Rise Against,Revolutions Per Minute,Amber Changing,2003
Jazz Gillum,Take One More Chance With Me,Me And My Buddy,0
José Augusto,Ao Vivo,Pecado De Amor,0
20/20,4 Day Tornado,It Goes On,0
Ultraviolence,Psycho Drama,Murder Academy,1995
Blind Blake & The Royal Victoria Hotel Calypsos,Bahamian Songs,Oh Look Misery,0
Mastodon,Call of the Mastodon,Shadows That Move,2001
The Irish Tenors,Live From Dublin,Mountains Of Mourne,0
Prozak,Tales From The Sick,Go To Hell,0
Jerry Butler,Jerry Butler Selected Hits Vol. 4,Moon River - Original,0
Extreme,Extreme,Teacher's Pet,0
Alexandre Desplat,L'enquête corse - bof,Palmer enquête,2004
Xcultures,One World One People,Smile,2000
Tantric,Mind Control,Walk Away,2009
James Horner,Aliens - The Deluxe Edition,Atmosphere Station,1986
Korn,Untitled,Ever Be,2007
Little Joe,Nuestra Tradición,Loco (Crazy),0
Percy Faith,A Jerome Kern Songbook,Yesterdays,0
U2,Window In The Skies,Kite Live from Sydney,2007
Yvette Horner,L'essentiel 2003,La Plus Bath Des Javas,0
Soda Stereo,De Musica Ligera,Terapia De Amor Intensiva,1988
The Nightraver & The Magican,Ultimate Happy Hardcore 3,Drop the Bass,0
LORE,My Soul Speaks,Haunting,0
Soul Asylum,Candy From A Stranger,Lies Of Hate,1998
Gertrudis,500,Intro,2009
Delta 9,No Regrets,Infidel,0
Warrior King,Virtuous Woman,Empress So Divine,2002
Carl Doy with NZSO,Music For Christmas Lovers,The First Noel,0
Jimmy Wakely,Country Masters Vol 1,Beautiful Brown eyes,2001
Tam Tam Go!,Miscelanea,Spanish Shuffle (Album Version),0
Horace Andy,Exclusively,Musical Episode,2005
Rah Digga (Featuring Outsidaz),Dirty Harriet,The Last Word (Amended Version),2000
Placebo,Sleeping With Ghosts,English Summer Rain,2003
!!!,Myth Takes,Myth Takes,2007
Buzzhorn,Disconnected,Pinned To The Ground (album version),2002
Silverstein,Discovering The Waterfront,Always And Never (Album Version),2005
Lady May,Pink Chokolate!,The Boss,0
Angelo Badalamenti,Blue Velvet,Jeffrey's Dark Side,1987
RUN-DMC,Run DMC,Hard Times,1984
Cesar Camargo Mariano/Helio Delmiro,Samambaia,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,0
Bert Kaempfert And His Orchestra,Love That Bert Kaempfert,Just As Much As Ever,0
Hank Locklin,Please Help Me I'm Fallin',Filipino Baby,0
Frank Chacksfield,Windsor Strings,Someone to Watch Over Me,0
Nightwish,Made In Hong Kong (And In Various Other Places),Escapist,2007
The Secret Life of Teenage Girls,The Last Living American Marxists,Carpe PM,0
Sandi Thom,The Pink & The Lily,Wounded Hearts,2008
Led Zeppelin,Coda,Poor Tom (Album Version),1982
The Field Mice,Coastal,When Morning Comes To Town,1989
The Notorious B.I.G.,Greatest Hits,Who Shot Ya (Amended Album Version),2007
Carl Belew,20 Greatest Hits,Love's Been Good To Me,0
Catherine Howe,Harry / Silent Mother Nature,Freedom Enough (From Silent Mother Nature),0
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,Once More,Estate,0
Till West & DJ Delicious,Ministry of Sound Presents 100,Same Man,2006
Dean Martin,Love From&The Rat Pack,Until You Love Someone,2005
James Darren,Love Among The Young,Hello Young Lovers (LP Version),0
Strata,STRATA,Part One From Triomusic,2004
Igor Stravinsky,Essential Igor Stravinsky,The Owl and the Pussy-cat,0
Carlos Nuñez,Cinema Do Mar,Quiero Ir Ao Mar,2005
Rodney O & Joe Cooley,Get Ready To Roll,Nutty Block,1991
Gene Clark,Echoes,Set You Free This Time,1998
Malkit Singh,Hai Shava,Hai Shava,1993
Maysa,Talento,Bloco Da Solidao (1996 Digital Remaster),0
Panic At The Disco,Northern Downpour,Northern Downpour (Album Version),0
Michèle Arnaud,Disque Pathé,Marie D'Aquitaine,0
Jan Howard,Love Is A Sometimes Thing,Bad Seed,0
The Shirelles,Dreamboats & Petticoats 2,Will You Love Me Tomorrow,1960
The American Boychoir,Voices of Angles - Christmas Favorites from the American Boychoir,Stille nacht_ heilige nacht,0
Abraham Laboriel,Guidum,Exchange,1995
JDS,Cream Trance Anthems Ibiza 2009,Nine Ways,0
Angela Dimitriou,Thisia Live,Ftei O Erotas,0
Lionel Rogg,Bach: Organ Works Vol.2,Prelude And Fugue In C Major BWV 531 : Fugue,0
Pe'z,Realive Tour 2002 -Odoranya Son Son- in Tokyo,Spirit,0
Lisa Lynne,Seasons Of The Soul,Isla del Luna,1999
The Jeff Healey Band,Road House,Hoochie Coochie Man,1989
Danny Wilson,Bebop Moptop,The Second Summer Of Love,1989
The Black Velvet Band,King Of Myself,Dancing To A Standstill,0
SWAMI featuring Asuivre,EQUALIZE,Give It What U Got,2007
Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,A Classic Christmas,Joy To The World,0
Shawn Colvin,Steady On,Another Long One,1989
Sticky Fingaz,Oh My God,Oh My God,2000
Stephy Tang,Music Cafe,Leng Jing,0
Java,Dance Tribute to Lady Gaga Vs Black Eyed Peas,Don't Phunk With My Heart,0
Nick Ingman;Gavyn Wright,Shakespeare in Love - Music from the Miramax Motion Picture,Wessex Loses a Bride,0
John Davis,Leave Home,Knocked Out Of The Park,0
Tiny Tim,Live! At The Royal Albert Hall,I Hold Your Hand In Mine [Live At Royal Albert Hall],2000
Casual,The Building,OAKtown,0
Backstreet Boys,Just Want You To Know,Larger Than Life,1999
Glad,Simply Glad,Blessed Assurance,1993
Christos Dantis,Daktilika Apotipomata,Den Pai Alo,0
Eddie Calvert,Oh Mein Papa,Erica (2005 Digital Remaster),0
David Martin,A Christian Christmas Celebration (Gift of Love),It Wont Be Christmas,0
Trafik,Salt In NYC,Salt In NYC,0
Kenny G featuring Daryl Hall,At Last... The Duets Album,Baby Come To Me,0
Pucho & His Latin Soul Brothers,Mucho Pucho,Got My Mojo Workin,0
Los Manolos,Rumbas Sin Fronte Ras,Rumba De Barcelona,0
Steel Rain,Trial and Error,Loaded Like A Gun,0
Jinx,Kutt Free,Kutt Free (DJ Volume Remix),0
Chase & Status,Ten Tonne EP,Ten Tonne,2005
Blingtones,Sonneries tyroliennes,Sonnerie lalaleulé hi houuu,0
Tom Petty,Wildflowers,A Higher Place (Album Version),1994
Soul Mekanik,Get Your Head Stuck On Your Neck,Get Your Head Stuck On Your Neck,0
Mitch Ryder,American Legend,Jenny Take a Ride,2004
Gloriana,Il meglio di Gloriana,Clementina Santafè,0
Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,Puccini: Highlights From La Boheme,Sono andati? Fingevo di dormire,0
Bombay Rockers,Wild Rose,Wild Rose (Back 2 Basics Mix),0
Gwen Stefani,Love Angel Music Baby,Harajuku Girls,2004
40 Grit,Nothing To Remember,Intro,2003
Line Renaud,Platinum Line Renaud,Der Kleine Dompfaff,0
King Curtis,Live At Fillmore West [w/bonus tracks],A Whiter Shade Of Pale (Live @ Fillmore West),0
Danilo Perez,. . . Till Then,Native Soul,2003
Steve Morse,Major Impacts,Prognosis,2000
Marc Shaiman,The Bucket List,City Slickers,2008
Luna Orbit Project,Northern Blue,Midnight Star,0
Sophie B. Hawkins,Whaler,The Ballad Of Sleeping Beauty,1994
Bitter End,Harsh Realities,Living Hell,0
Lupe Fiasco,Lupe Fiasco's The Cool,Streets On Fire (Explicit Album Version),0
Wilks,Tears,Music is what we love,0
Neil Sedaka,Love Songs,Because Of You,1999
Lisa Lynne,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,Lake Of Dreams,1998
Natural Elements,Lyricist Lounge Vol. 1,Mayday,1998
Ethel Merman,Gypsy (Original Broadway Cast),Small World,0
Leon Russell & New Grass Revival,New Grass Revival With Leon Russell Live,Truck Driving Man/Down In The Caribbean,0
Story Of The Year,Live In The Lou,Swallow The Knife (Live) (Segue),2005
Maurice Larcange,Joue Legrand & Becaud,Un Peu D'Amour Et D'Amitié,0
Jauida,Ocean,I don't Want to Be Alone Tonight,0
John Davis & Emma Doyle,Santa Claus Is Coming To Town,Rudolph The Red-Nosed Reindeer,0
A Static Lullaby,Rattlesnake!,Rattlesnake!,2008
Tabu feat. Mitzib,Ain't No Love (Ain't No Use),Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),0
Coph Nia,That Which Remains,Doppelgänger [Qliphothic Phantasmagoria],2000
Oasis,Stop The Clocks,Morning Glory,0
John Wesley_ John Wesley,Chasing Monsters,Disappeared,0
Stew,Something Deeper Than These Changes,Tomorrow Gone,2003
Nights Like These,The Faithless,Ghost Town Rituals (Album Version),2006
STEVE CAMP,The Definitive Collection,Song For Mom (LP Version),0
Richard Galliano,French Touch,L' Envers Du Décor,1999
All Time Low,So Wrong_ It's Right,Shameless,2007
The Stolen Minks,High Kicks,I Hate You,0
Daath,The Hinderers,From The Blind (LP Version),2006
Jay Tee & Baby Bash,The Camp Is Back,All Over Me,0
Debbie Davies,Round Every Corner,Little Sister,1998
Eddy Arnold,Number Ones,Just A Little Lovin' (Will Go A Long Way),1967
Brian Dullaghan,Songs For A Wedding - 18 Songs For That Special Day,And I Love You So,0
Regina Belle,Passion,Quiet Time,1993
Philippe Sarde,Le Mystère de la Chambre Jaune (Bande Originale du Film),Le Presbytère n'a rien perdu de son Charme,0
Yung Joc,Hustlenomics,BYOB (Explicit Album Version),2007
UFO,The Official Bootleg Box Set,Chains Chains (Live In Hammersmith),0
State of Chaos,Across the nation,CHAOS INTRO,0
Die Fantastischen Vier,Jetzt geht's ab - Jubiläums-Edition,Böse,1991
Orquesta Aragón,10 De Colección,Ven Morena,2003
Extasick,Extasick and This Dirty Musick,Misanthrope,0
Nelson Ned,Mis Momentos,A Mi No Me Importa,0
Jason Miles,To Grover_ With Love,Brighton by the Sea,0
SNOWPATROL,CHRISTMAS DANCE SENSATION,We Wish You A Merry Christmas,0
Avril - Remix By Ana Rago,The Date - Dated Girls Remixes,The Date (Remix By Ana Rago),2002
Dropkick Murphys,Live On St. Patrick's Day,Bloody Pig Pile (Live),2002
Pat Travers,Pat Travers,As My Fire Flies,0
Jeanie Lambe & The Danny Moss Quartet,The Blue Noise Session,Saturday Night Is The Loneliest Night In The Week,0
Taint,Secrets & Lies,Hex Breaker,2009
Bullet For My Valentine,The Poison,Suffocating Under Words Of Sorrow (What Can I Do),2005
VHS Or Beta,The Melting Moon,The Melting Moon (Edit),2004
Leonard Kwan,The Legendary Leonard Kwan : The Complete Early Recordings,Hawaiian Chimes,0
The Hit Factory,The Hit Factory,Im Moving On,0
True Believers,In This Place,Turn Around,0
Charanga Forever,La Charanga Soy Yo,Tumba Tumba,2000
Zuzu Bollin,Hot Rhythm & Cool Blues,Why don't you eat where you slept last night ?,0
Les Hurlements D'leo,13 ans de caravaning,L'accordéoniste,1999
Beatnuts,A Musical Massacre (Explicit),Monster For Music,0
David Mingyue Liang,The Flowing Waters,Youlan_ Lonely Orchid (solo guqin),0
Marcus Miller,Suddenly,Let Me Show You [I Just Want To Make You Smile],1983
Public Image Ltd,Compact Disc,Ease,1985
Terry Snyder,Ultra-Lounge_ Vol. 17: Bongoland,Deep Night/Softly As In A Morning Sunrise (Medley),0
Rise Against,This Is Noise,Everchanging,2001
Kid Sister,Ultraviolet,Daydreaming [Jakwob Remix],2009
Pursuit Of Happiness,One Sided Story,Forbidden Fruit,0
Sizzla,Bien Sobre Mal Vol. 3: Black Rain Riddim,Too much informa,2005
Ayo,Joyful,Complain,2006
Helen Love,Radio Hits,So Hot,1994
Richard Galliano,Original Album Classics,L'insidieuse (Live),0
Mons Leidvin Takle,Gyldne Øyeblikk,Dansende Foran Speilet,0
Amy Winehouse,Take The Box,Stronger Than Me,2003
Bobby Hutcherson,Jazz for a Summer Night,Recorda-Me,0
Michael Card,The Final Word,Joy In The Journey (The Final Word Album Version),0
Azis,BalkanBeats Volume 2,Anti Geroi,2006
George Lopez,Tall_ Dark & Chicano,Only For The Young,2009
Leila Chicot,Zouk Sun-Hit Mégamix,Medley Leïla Chico,0
Les Hou-Lops,Vendredi m'obsède,T'as 16 ans demain,0
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,Labcabincalifornia,The Hustle,1995
Ensiferum,Victory Songs,Warrior's Quest,1999
Jackie Edwards,Roots And Culture Volume 3,So Jah Seh,2006
The Cosmosamatics,Zetrons,Serene,0
The Pharcyde,Humboldt Beginnings,Italian For Goodbye (skit),2004
Richard Galliano,Original Album Classics,Chorinho Pra Ele (Live),0
Gregory Isaacs,Mr. Cool,Lady Of Your Calibre,0
Headhunter,Parody Of Life,Trapped In Reality,0
Christina Aguilera,Mi Reflejo,Pero Me Acuerdo De Tí,2000
Sonia Dersion,Belles De Zouk,Urgence,2004
